service_type,metric,service,weight,mean,std,samples
factorial,factorial_execution_time_seconds,fact_300000,0.1317760625682578,0.8814454521904432,0.018462562351525987,21
factorial,factorial_execution_time_seconds,fact_500000,0.05453640156617251,2.1298326938094325,0.07862319794072309,21
factorial,factorial_execution_time_seconds,fact_service,0.8136875358655697,0.14274940433343936,0.034178531480926214,21
matrix,matrix_multiplication_time_seconds,matrix_service,1.0,1.1862742854523276,0.4551462703946706,42
