metric,service,service_type,node,container,task,job,instance,address,duration_seconds,completed_at,started_at
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2441907249994983,2025-09-26 19:31:22+00:00,2025-09-26 19:31:19.755809+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7034500139998272,2025-09-26 19:31:22+00:00,2025-09-26 19:31:20.296550+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,1.146605747000649,2025-09-26 19:31:22+00:00,2025-09-26 19:31:20.853394+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8761146070000905,2025-09-26 19:31:22+00:00,2025-09-26 19:31:21.123885+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.1333923499996672,2025-09-26 19:31:22+00:00,2025-09-26 19:31:21.866608+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:31:52+00:00,2025-09-26 19:31:51.112767+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8761146070000905,2025-09-26 19:31:52+00:00,2025-09-26 19:31:51.123885+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7034500139998272,2025-09-26 19:31:52+00:00,2025-09-26 19:31:50.296550+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0713295819996347,2025-09-26 19:31:52+00:00,2025-09-26 19:31:49.928670+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.123810706999393,2025-09-26 19:31:52+00:00,2025-09-26 19:31:51.876189+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8687526249996154,2025-09-26 19:32:22+00:00,2025-09-26 19:32:21.131247+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0713295819996347,2025-09-26 19:32:22+00:00,2025-09-26 19:32:19.928670+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:32:22+00:00,2025-09-26 19:32:21.112767+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7034500139998272,2025-09-26 19:32:22+00:00,2025-09-26 19:32:20.296550+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.23868946899983712,2025-09-26 19:32:22+00:00,2025-09-26 19:32:21.761311+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.448825419000059,2025-09-26 19:32:52+00:00,2025-09-26 19:32:50.551175+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8687526249996154,2025-09-26 19:32:52+00:00,2025-09-26 19:32:51.131247+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:32:52+00:00,2025-09-26 19:32:51.112767+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1926225269999122,2025-09-26 19:32:52+00:00,2025-09-26 19:32:49.807377+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.23868946899983712,2025-09-26 19:32:52+00:00,2025-09-26 19:32:51.761311+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8865777740002159,2025-09-26 19:33:22+00:00,2025-09-26 19:33:21.113422+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,1.1472177960004046,2025-09-26 19:33:22+00:00,2025-09-26 19:33:20.852782+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12501535700084787,2025-09-26 19:33:22+00:00,2025-09-26 19:33:21.874985+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1926225269999122,2025-09-26 19:33:22+00:00,2025-09-26 19:33:19.807377+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.448825419000059,2025-09-26 19:33:22+00:00,2025-09-26 19:33:20.551175+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.742884332000358,2025-09-26 19:33:52+00:00,2025-09-26 19:33:50.257116+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12971480000032898,2025-09-26 19:33:52+00:00,2025-09-26 19:33:51.870285+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8865777740002159,2025-09-26 19:33:52+00:00,2025-09-26 19:33:51.113422+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1926225269999122,2025-09-26 19:33:52+00:00,2025-09-26 19:33:49.807377+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.685813617000349,2025-09-26 19:33:52+00:00,2025-09-26 19:33:51.314186+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.742884332000358,2025-09-26 19:34:22+00:00,2025-09-26 19:34:20.257116+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12971480000032898,2025-09-26 19:34:22+00:00,2025-09-26 19:34:21.870285+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8865777740002159,2025-09-26 19:34:22+00:00,2025-09-26 19:34:21.113422+00:00
