metric,service,service_type,node,container,task,job,instance,address,duration_seconds,completed_at,started_at
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.9060775990001275,2025-09-26 19:29:43+00:00,2025-09-26 19:29:42.093922+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2743964840001354,2025-09-26 19:29:43+00:00,2025-09-26 19:29:40.725604+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6996003920003204,2025-09-26 19:29:43+00:00,2025-09-26 19:29:42.300400+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.480240543999571,2025-09-26 19:30:13+00:00,2025-09-26 19:30:11.519759+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12737159999960568,2025-09-26 19:30:13+00:00,2025-09-26 19:30:12.872628+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.9500229140003285,2025-09-26 19:30:13+00:00,2025-09-26 19:30:12.049977+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2743964840001354,2025-09-26 19:30:13+00:00,2025-09-26 19:30:10.725604+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6933208150003338,2025-09-26 19:30:13+00:00,2025-09-26 19:30:12.306679+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.9500229140003285,2025-09-26 19:30:43+00:00,2025-09-26 19:30:42.049977+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2441907249994983,2025-09-26 19:30:43+00:00,2025-09-26 19:30:40.755809+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.3015705000007074,2025-09-26 19:30:43+00:00,2025-09-26 19:30:41.698429+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12737159999960568,2025-09-26 19:30:43+00:00,2025-09-26 19:30:42.872628+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6933208150003338,2025-09-26 19:30:43+00:00,2025-09-26 19:30:42.306679+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.3015705000007074,2025-09-26 19:31:13+00:00,2025-09-26 19:31:11.698429+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2441907249994983,2025-09-26 19:31:13+00:00,2025-09-26 19:31:10.755809+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,1.146605747000649,2025-09-26 19:31:13+00:00,2025-09-26 19:31:11.853394+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.1333923499996672,2025-09-26 19:31:13+00:00,2025-09-26 19:31:12.866608+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8761146070000905,2025-09-26 19:31:13+00:00,2025-09-26 19:31:12.123885+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7034500139998272,2025-09-26 19:31:43+00:00,2025-09-26 19:31:41.296550+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2441907249994983,2025-09-26 19:31:43+00:00,2025-09-26 19:31:40.755809+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:31:43+00:00,2025-09-26 19:31:42.112767+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.123810706999393,2025-09-26 19:31:43+00:00,2025-09-26 19:31:42.876189+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8761146070000905,2025-09-26 19:31:43+00:00,2025-09-26 19:31:42.123885+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7034500139998272,2025-09-26 19:32:13+00:00,2025-09-26 19:32:11.296550+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:32:13+00:00,2025-09-26 19:32:12.112767+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8761146070000905,2025-09-26 19:32:13+00:00,2025-09-26 19:32:12.123885+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.123810706999393,2025-09-26 19:32:13+00:00,2025-09-26 19:32:12.876189+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0713295819996347,2025-09-26 19:32:13+00:00,2025-09-26 19:32:10.928670+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8687526249996154,2025-09-26 19:32:43+00:00,2025-09-26 19:32:42.131247+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:32:43+00:00,2025-09-26 19:32:42.112767+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.23868946899983712,2025-09-26 19:32:43+00:00,2025-09-26 19:32:42.761311+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1926225269999122,2025-09-26 19:32:43+00:00,2025-09-26 19:32:40.807377+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7034500139998272,2025-09-26 19:32:43+00:00,2025-09-26 19:32:41.296550+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12501535700084787,2025-09-26 19:33:13+00:00,2025-09-26 19:33:12.874985+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,1.1472177960004046,2025-09-26 19:33:13+00:00,2025-09-26 19:33:11.852782+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1926225269999122,2025-09-26 19:33:13+00:00,2025-09-26 19:33:10.807377+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8865777740002159,2025-09-26 19:33:13+00:00,2025-09-26 19:33:12.113422+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.448825419000059,2025-09-26 19:33:13+00:00,2025-09-26 19:33:11.551175+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.742884332000358,2025-09-26 19:33:43+00:00,2025-09-26 19:33:41.257116+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1926225269999122,2025-09-26 19:33:43+00:00,2025-09-26 19:33:40.807377+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12501535700084787,2025-09-26 19:33:43+00:00,2025-09-26 19:33:42.874985+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8865777740002159,2025-09-26 19:33:43+00:00,2025-09-26 19:33:42.113422+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,1.1472177960004046,2025-09-26 19:33:43+00:00,2025-09-26 19:33:41.852782+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.742884332000358,2025-09-26 19:34:13+00:00,2025-09-26 19:34:11.257116+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.3198652599994602,2025-09-26 19:34:13+00:00,2025-09-26 19:34:10.680135+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.685813617000349,2025-09-26 19:34:13+00:00,2025-09-26 19:34:12.314186+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12971480000032898,2025-09-26 19:34:13+00:00,2025-09-26 19:34:12.870285+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8865777740002159,2025-09-26 19:34:13+00:00,2025-09-26 19:34:12.113422+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.3198652599994602,2025-09-26 19:34:43+00:00,2025-09-26 19:34:40.680135+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.742884332000358,2025-09-26 19:34:43+00:00,2025-09-26 19:34:41.257116+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.685813617000349,2025-09-26 19:34:43+00:00,2025-09-26 19:34:42.314186+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.18349178999960714,2025-09-26 19:34:43+00:00,2025-09-26 19:34:42.816508+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8673287500005245,2025-09-26 19:34:43+00:00,2025-09-26 19:34:42.132671+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.685813617000349,2025-09-26 19:35:13+00:00,2025-09-26 19:35:12.314186+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8673287500005245,2025-09-26 19:35:13+00:00,2025-09-26 19:35:12.132671+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.5813953639999454,2025-09-26 19:35:13+00:00,2025-09-26 19:35:11.418605+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0828991119997227,2025-09-26 19:35:13+00:00,2025-09-26 19:35:10.917101+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.18349178999960714,2025-09-26 19:35:13+00:00,2025-09-26 19:35:12.816508+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6719157939996876,2025-09-26 19:35:43+00:00,2025-09-26 19:35:42.328084+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.5813953639999454,2025-09-26 19:35:43+00:00,2025-09-26 19:35:41.418605+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.9008804349996353,2025-09-26 19:35:43+00:00,2025-09-26 19:35:42.099120+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0828931389996796,2025-09-26 19:35:43+00:00,2025-09-26 19:35:40.917107+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12785291000000143,2025-09-26 19:35:43+00:00,2025-09-26 19:35:42.872147+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12719345200002863,2025-09-26 19:36:13+00:00,2025-09-26 19:36:12.872807+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0828931389996796,2025-09-26 19:36:13+00:00,2025-09-26 19:36:10.917107+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.9946954710003411,2025-09-26 19:36:13+00:00,2025-09-26 19:36:12.005305+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.335173701999338,2025-09-26 19:36:13+00:00,2025-09-26 19:36:11.664826+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.868166803999884,2025-09-26 19:36:13+00:00,2025-09-26 19:36:12.131833+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,2.1374762800005556,2025-09-26 19:36:43+00:00,2025-09-26 19:36:40.862524+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12719345200002863,2025-09-26 19:36:43+00:00,2025-09-26 19:36:42.872807+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0828931389996796,2025-09-26 19:36:43+00:00,2025-09-26 19:36:40.917107+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.9946954710003411,2025-09-26 19:36:43+00:00,2025-09-26 19:36:42.005305+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.868166803999884,2025-09-26 19:36:43+00:00,2025-09-26 19:36:42.131833+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.868166803999884,2025-09-26 19:37:13+00:00,2025-09-26 19:37:12.131833+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.13002608900023915,2025-09-26 19:37:13+00:00,2025-09-26 19:37:12.869974+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.306709373000558,2025-09-26 19:37:13+00:00,2025-09-26 19:37:10.693291+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8494940889995632,2025-09-26 19:37:13+00:00,2025-09-26 19:37:12.150506+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,2.1374762800005556,2025-09-26 19:37:13+00:00,2025-09-26 19:37:10.862524+00:00
